date,Mnth_Hsng_Inv_Medn_Lstn_Pric_in_Cal,Mnth_30_Yr_Fixd_Rate_Mrtg_Avrg,monthly_rate,r,payment,Real_Medn_Hshl_Incm_in_Cal,mo_payment_ovr_Mo_HHInc,id,rows,25,breakpoints,975
2018-03-01,549000,4.43,0.00369166666666667,2.76803222219551,2758.91481475312,82772,0.399977985031623,21,1,,,
2018-04-01,557500,4.83,0.004025,3.24648545414158,2935.12725941734,82772,0.425524659462234,22,1,,,
2018-05-01,568450,4.83,0.004025,3.24648545414158,2992.77684415387,82772,0.433882498065125,23,1,,,
2018-06-01,570000,4.83,0.004025,3.24648545414158,3000.93728765539,82772,0.43506557110937,24,1,,,
2018-07-01,568500,4.83,0.004025,3.24648545414158,2993.04008426683,82772,0.433920661711713,25,1,,,
2018-08-01,559475,4.83,0.004025,3.24648545414158,2945.52524387895,82772,0.427032123502482,26,1,,,
2018-09-01,551211,4.83,0.004025,3.24648545414158,2902.01691801021,82772,0.420724435994327,27,1,,,
2018-10-01,550000,4.83,0.004025,3.24648545414158,2895.6412424745,82772,0.419800112473953,28,1,,,
2018-11-01,549945,4.83,0.004025,3.24648545414158,2895.35167835026,82772,0.419758132462705,29,2,2018-07-01,2018-11-01,2019-01-01
2018-12-01,539000,3.75,0.003125,2.07481839521478,2496.19303857375,82772,0.361889485126432,30,2,,,
2019-01-01,531500,3.75,0.003125,2.07481839521478,2461.45936920584,82772,0.356853917151574,31,2,,,
2019-02-01,543950,3.75,0.003125,2.07481839521478,2519.11726035657,81278,0.371926070083895,32,2,,,
2019-03-01,562371,3.75,0.003125,2.07481839521478,2604.42778348007,81278,0.384521437557037,33,2,,,
2019-04-01,579000,3.75,0.003125,2.07481839521478,2681.4392752026,81278,0.395891524181589,34,2,,,
2019-05-01,589450,3.75,0.003125,2.07481839521478,2729.83485452189,81278,0.403036716630117,35,2,,,
2019-06-01,599000,3.75,0.003125,2.07481839521478,2774.06239351702,81278,0.409566533652456,36,2,,,
2019-07-01,596500,3.75,0.003125,2.07481839521478,2762.48450372772,81278,0.407857157468597,37,2,,,
2019-08-01,590882,3.75,0.003125,2.07481839521478,2736.4666697932,81278,0.404015847308231,38,2,,,
2019-09-01,584705,2.88,0.0024,1.37017752143202,2427.46002060318,81278,0.358393664303233,39,2,,,
2019-10-01,580586,2.88,0.0024,1.37017752143202,2410.35958906101,81278,0.355868932167771,40,2,,,
2019-11-01,574900,2.88,0.0024,1.37017752143202,2386.75360368864,81278,0.352383710773687,41,2,,,
2019-12-01,551728,2.88,0.0024,1.37017752143202,2290.55277831958,81278,0.338180483523647,42,2,,,
2020-01-01,549450,2.88,0.0024,1.37017752143202,2281.09543841838,81278,0.336784188353804,43,2,,,
2020-02-01,575000,2.88,0.0024,1.37017752143202,2387.16876347359,81575,0.351161816263354,44,2,,,
2020-03-01,599000,2.88,0.0024,1.37017752143202,2486.80711186206,81575,0.365819005116086,45,2,,,
2020-04-01,580000,2.88,0.0024,1.37017752143202,2407.92675272119,81575,0.35421539727434,46,2,,,
2020-05-01,610000,2.88,0.0024,1.37017752143202,2532.47468820677,81575,0.372536883340254,47,2,,,
2020-06-01,652450,2.88,0.0024,1.37017752143202,2708.71001691886,81575,0.398461786123523,48,3,2020-05-01,2020-06-01,2020-08-01
2020-07-01,691500,2.88,0.0024,1.37017752143202,2870.82991294259,81575,0.422310253819321,49,3,,,
2020-08-01,699900,2.88,0.0024,1.37017752143202,2905.70333487855,81575,0.427440269917777,50,3,,,
2020-09-01,705495,2.88,0.0024,1.37017752143202,2928.93152484661,81575,0.43085722706907,51,3,,,
2020-10-01,719000,2.88,0.0024,1.37017752143202,2984.99885380437,81575,0.439104949379742,52,3,,,
2020-11-01,712486,3.18,0.00265,1.59279949668781,3073.47746342354,81575,0.452120497224426,53,3,,,
2020-12-01,704450,3.18,0.00265,1.59279949668781,3038.81227014807,81575,0.447021112372379,54,3,,,
2021-01-01,699425,3.18,0.00265,1.59279949668781,3017.13574000754,81575,0.443832410420968,55,3,,,
2021-02-01,724900,3.18,0.00265,1.59279949668781,3127.02819877966,81575,0.459998018821403,56,3,,,
2021-03-01,732500,3.18,0.00265,1.59279949668781,3159.81260257429,81575,0.464820732220552,57,3,,,
2021-04-01,749000,3.18,0.00265,1.59279949668781,3230.98926870736,81575,0.475291096837124,58,3,,,
2021-05-01,749900,2.98,0.00248333333333333,1.44218171267133,3153.52560968266,81575,0.463895891096437,59,3,,,
2021-06-01,749970,2.98,0.00248333333333333,1.44218171267133,3153.81997798867,81575,0.46393919381997,60,3,,,
2021-07-01,744900,2.98,0.00248333333333333,1.44218171267133,3132.49930211043,81575,0.460802839415571,61,4,2021-06-01,2021-07-01,2021-08-01
2021-08-01,722500,5.66,0.00471666666666667,4.44124610140143,4175.0969654186,81575,0.614173013607394,62,4,,,
2021-09-01,705000,5.66,0.00471666666666667,4.44124610140143,4073.97004930119,81575,0.599296850648045,63,4,,,
2021-10-01,7e+05,5.66,0.00471666666666667,4.44124610140143,4045.07664469622,81575,0.595046518373946,64,4,,,
2021-11-01,699450,5.66,0.00471666666666667,4.44124610140143,4041.89837018967,81575,0.594578981823795,65,4,,,
2021-12-01,692928,5.66,0.00471666666666667,4.44124610140143,4004.20981322294,81575,0.589034848405459,66,4,,,
2022-01-01,695000,5.66,0.00471666666666667,4.44124610140143,4016.18324009125,81575,0.590796186099846,67,4,,,
2022-02-01,715223,5.66,0.00471666666666667,4.44124610140143,4133.04550435652,81575,0.607987080015669,68,4,,,
2022-03-01,749450,5.66,0.00471666666666667,4.44124610140143,4330.8324162394,81575,0.637082304564791,69,4,,,
2022-04-01,760000,5.66,0.00471666666666667,4.44124610140143,4391.79749995589,81575,0.646050505663141,70,4,,,
2022-05-01,775000,5.66,0.00471666666666667,4.44124610140143,4478.47771377081,81575,0.65880150248544,71,4,,,
2022-06-01,775000,5.66,0.00471666666666667,4.44124610140143,4478.47771377081,81575,0.65880150248544,72,4,,,
2022-07-01,750000,5.66,0.00471666666666667,4.44124610140143,4334.01069074595,81575,0.637549841114942,73,4,,,
2022-08-01,737500,5.66,0.00471666666666667,4.44124610140143,4261.77717923352,81575,0.626924010429693,74,4,,,
2022-09-01,725000,5.66,0.00471666666666667,4.44124610140143,4189.54366772108,81575,0.616298179744444,75,4,,,
2022-10-01,715000,6.49,0.00540833333333333,5.97096659240915,4514.5851913113,81575,0.664113052966418,76,4,,,
2022-11-01,699900,6.49,0.00540833333333333,5.97096659240915,4419.24220335493,81575,0.650087728351323,77,4,,,
2022-12-01,695000,6.49,0.00540833333333333,5.97096659240915,4388.30308805784,81575,0.645536464072253,78,4,,,
2023-01-01,687450,6.79,0.00565833333333333,6.62367574804428,4477.08146592294,81575,0.658596108992648,79,4,,,
2023-02-01,699475,6.79,0.00565833333333333,6.62367574804428,4555.39538639384,81575,0.670116391501392,80,4,,,
2023-03-01,722000,6.79,0.00565833333333333,6.62367574804428,4702.09152432375,81575,0.691695964350413,81,4,,,
2023-04-01,750000,6.79,0.00565833333333333,6.62367574804428,4884.44410421442,81575,0.71852073859115,82,4,,,
2023-05-01,774500,6.79,0.00565833333333333,6.62367574804428,5044.00261161876,81575,0.741992416051794,83,4,,,
2023-06-01,777000,6.79,0.00565833333333333,6.62367574804428,5060.28409196614,81575,0.744387485180431,84,4,,,
2023-07-01,775000,,,,,81575,,85,4,,,
2023-08-01,768000,,,,,81575,,86,4,,,
